Fecha,Campaña,Canal,Impresiones,Clics,Conversiones,Gasto,Ingresos,Región
2024-01-05,Lanzamiento Verano,Google Ads,48000,1600,140,1200,4800,Norte
2024-01-15,Lanzamiento Verano,Instagram Ads,52000,1700,110,1050,3700,Centro
2024-01-22,Promo Auriculares,Facebook Ads,45000,1250,95,890,2800,Sur
2024-02-03,Rebajas Febrero,Google Ads,53000,1450,130,1100,4200,Oeste
2024-02-17,Rebajas Febrero,Instagram Ads,60000,1550,115,980,3900,Centro
2024-03-01,Campaña Smartwatch,Facebook Ads,48000,1400,120,950,4100,Norte
2024-03-20,Campaña Smartwatch,Google Ads,51000,1500,130,1150,4600,Sur
2024-04-05,Campaña Laptop,Instagram Ads,49000,1300,100,870,3500,Oeste
2024-04-20,Campaña Laptop,Google Ads,53000,1600,140,1250,5200,Centro
2024-05-10,Mid-Year Sale,Facebook Ads,60000,1800,150,1350,5000,Sur
2024-06-01,Mid-Year Sale,Google Ads,62000,1900,160,1400,5300,Norte
2024-06-15,Mid-Year Sale,Instagram Ads,61000,1750,140,1300,4900,Centro
2024-07-03,Campaña Invierno,Google Ads,59000,1700,135,1200,4700,Oeste
2024-07-20,Campaña Invierno,Facebook Ads,58000,1600,120,1100,4300,Sur
2024-08-10,Back to School,Instagram Ads,65000,2100,180,1550,6200,Centro
2024-08-25,Back to School,Google Ads,64000,2050,190,1600,6400,Norte
2024-09-12,Campaña Primavera,Facebook Ads,70000,2250,210,1750,7100,Sur
2024-09-25,Campaña Primavera,Google Ads,72000,2300,220,1800,7500,Centro
2024-10-10,Campaña Black Week,Instagram Ads,80000,2400,260,2000,9100,Oeste
2024-11-20,Campaña Black Week,Google Ads,85000,2500,270,2200,9600,Centro
2024-12-05,Campaña Navidad,Facebook Ads,90000,2800,300,2500,10800,Sur
2024-12-18,Campaña Navidad,Google Ads,95000,3100,330,2700,11500,Norte
